COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 25/10/2024 

DATOS DISPONIBLES EN LA BASE DE DATOS A: OCTOBER DE 2024; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 15125 
 NOMBRE    : TEXCOCO (DGE) 
 ESTADO    : MÉXICO 
 MUNICIPIO : TEXCOCO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 19.50555556 ° 
 LONGITUD  : -98.88194444 ° 
 ALTITUD   : 2250 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1984	0.5	2.2	3.7	5.9	7.4	9.2	9	7.6	8.8	5.9	0.3	-0.7		5	12
1985	-0.1	1.2	3.4	5.7	6.6	9.3	7.5	7.9	7	4.2	1.2	0.8		4.6	12
1986	-1.4	2.2	2.5	7.4	10.5	11.7	8.9	9.5	9.2	8.2	5.2	3.1		6.4	12
1987	2.3	4.6	5.5	6.8	7.9	11	10.5	10.7	9.8	3.6	4.1	2.5		6.6	12
1988	-0.3	3.6	5.5	8.2	9	10.5	10.5	10.1	8.4	6.8	1.3	-0.2		6.1	12
1989	2.2	1.3	5.2	5.2	7.8	8.8	9.1	9.5	8.7	4.6	4.8	2.2		5.8	12
1990	2.3	3.9	5.6	10.6	8.5	10.2	10	9.5	8.8	8.6	5.1	3.4		7.2	12
1991	1.7	3.6	8.9	11.2		9.9	9.7	8.4	7.2	6.1	3.3	2.7		6.6	11
1992	0.1		5.9	6.9										4.3	3
2001	1	1.5	2	5.9	5.7	8.5	7	6.8	7.1	4.2	1.8	1.2		4.4	12
2002	10													10	1
2004										10.1	5.4	2.9		6.1	3
2005	3.2	3.6	3.9	3.9	4.1	3.9	3.6	3.6	3.5	3	4.9	4.1		3.8	12
2006	2	5.1	5.4	8.5	10.9	10.8	11.1	11.5	12.3	10.8	7			8.7	11
2007	4.8	5.5	5.9	8.5	10.7	10.8	11.1	10.8	3.8	7.4	3.8	3.2		7.2	12
2008	2.3	3.9	7.2	10	10.1	10.6	10.8	11.1	10.9	7.9	3.4	1.4		7.5	12
2009	3.3	3.8	5	9.5	10.7	11.5	10.9	10.5	11.8	10.7	5.6	5.9		8.3	12
2010	4.8	5.6	6.8	8.4	10.7	11.7	11.2	11.3	10.8	6.2	6.6	1.2		7.9	12
2011	3.1	6	4.9	9.8	11.2	10.4	11.6	10.7	9.1	6.4	5.8	3.1		7.7	12
2012	3.9	6.5	6.2	7	9.8	11.4	10.9	10.9	10.3	6.7	5	3.3		7.7	12
2013	4.4	4.4	6.3	9.1	10.5	10.8	10.8	10	11.5	9.2	7.4	4.6		8.2	12
2014	3	4.9	7.8	9.3	10.4	12.3	10.5	10.2		10.2	6.9	5.9		8.3	11
2015	4.5	5.8	8.3	9.6	10.9	11.6	10.5	10.8	11.2		9	5.9		8.9	11
2016	4.4	4.6	7.9	8.7	11.1	11	11	11	11	8.8	7.1	5.9		8.5	12
2017	2.9	4.2	6	8.5	11	11.1	11.1	11.7	11.2	9.2	4.1	2.1		7.8	12
2018	2.2	5.8	7.1	8.8	9.9	11.7	10.1	11	11.4	10.3	6.9	3.7		8.2	12
2019	3.2	5.7	6.9	8.6	10.7	12.4	11	10.3	10.5	10.9	7.8	3.5		8.5	12
2020	4.1	6.3	7.6	11	10.5	11.1	11	11.2	10.9	7	5.2	5		8.4	12
2021	4.2	4.5	6.4	8.1	11	11.7	10.5	10.7	10.7	9.5	4.7	3.2		7.9	12
2022	3.8	4.9	6.2	9.3	9.9	10.4	10.9	10.6	11.4	8.6	6.3	3.4		8	12
2023	3	3.9	6.6	9	10.1	11.8	11.9	11.4	9.9	10	7	5.9		8.4	12
2024	5.1	5.1	8.6											6.3	3
MÍNIMA	-1.4	-0.9	1.9	3.9	4.1	3.9	3.6	3.6	3.5	2.2	-0.3	-0.7		3.8	1
MÁXIMA	10	6.5	8.9	11.2	11.2	12.4	11.9	11.7	12.3	10.9	9	5.9		10	12
MEDIA	2.5	3.8	5.6	7.9	9.3	10.3	9.8	9.7	9.3	7.3	4.6	2.8		6.8	10.9
DESV.ST	2.2	1.8	1.8	1.8	1.8	1.7	1.7	1.8	2.1	2.4	2.3	1.9		1.6	2.9

TEMPERATURA MÍNIMA EXTREMA
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1978	0	-0.5	-1.5	3	3.5	7	4	3	4.5	-0.5	-1	-1.5		1.7	12
1979	-5.5	0	1	3.5	2.5	0	4	4.5	-3.5	-4	-2.5	-1.5		-0.1	12
1980	-4	-5	0	3	5	2	3.5	5	1	1	-1.5	-6		0.3	12
